"avgAnnCount","avgDeathsPerYear","incidenceRate","medIncome","popEst2015","povertyPercent","studyPerCap","binnedInc","MedianAge","MedianAgeFemale","AvgHouseholdSize","PercentMarried","PctBachDeg18_24","PctHS25_Over","PctBachDeg25_Over","PctUnemployed16_Over","PctPrivateCoverage","PctEmpPrivCoverage","PctWhite","PctBlack","PctOtherRace","PctMarriedHouseholds","BirthRate","TARGET_deathRate"
1397,469,489.8,61898,12.4689406292637,11.2,499.7482038,93564.75,39.3,41.7,2.54,52.5,6.9,23.2,2.97552956623647,8,5640.01,41.6,3342.53860064293,2.594728333,1.843478533,52.85607588,6.118831029,164.9
173,70,411.6,48127,10.6751917222516,18.6,23.11123437,49534,33,33.7,2.34,44.5,7.5,26,3.12236492448736,7.8,4928.04,43.6,3979.16001106744,0.969102455,3.741351531,45.37250044,4.333095578,161.3
102,50,349.7,49348,9.95351504613578,14.6,47.56016361,49534,45,45.8,2.62,54.2,9.5,29,2.77258872223978,7,4057.69,34.9,4131.6669203269,0.739673391,2.747358309,54.44486837,3.729487817,174.7
427,202,430.4,44243,11.236934781108,17.1,342.6372526,43962.7,42.8,43.4,2.52,52.7,2.5,31.6,2.23001440015921,12.1,3410.56,35,4206.7626486486,0.782625968,1.362643183,51.02151448,4.603840773,194.8
57,26,350.1,49955,9.24193593356593,12.5,0,49534,48.3,48.9,2.34,57.8,2,33.4,2.70805020110221,4.8,3794.56,35.1,4425.92730834513,0.270192029,0.492135482,54.02745995,6.796657382,144.4
428,152,505.4,52313,11.0190061212706,15.6,180.259902,52796,45.4,48,2.58,50.4,4.5,30.4,2.47653840011748,12.9,3600,32.6,3600.95507146673,1.653205244,3.31463539,51.22035959,4.964476021,176
250,97,461.8,37782,10.6338341740852,23.2,0,38888.25,42.6,43.5,2.42,54.1,5.8,29.8,2.47653840011748,8.9,2450.25,28.3,2819.17395899262,0.616955386,8.356721185,51.01389975,4.204317269,175.9
146,71,404,40189,9.94501329936463,17.8,0,38888.25,51.7,52.5,2.24,52.7,2.2,31.6,2.42480272571829,8.9,3113.64,25.9,3995.06445494534,0.305158634,2.286267861,48.96703297,5.889178996,183.6
88,36,459.4,42579,9.47945105884253,22.3,0,41543.55,49.3,49.8,2.38,55.9,1.4,32.2,2.484906649788,10.3,3080.25,29.9,4210.68801011281,0.185070944,0.616903146,53.44699778,5.587583149,190.5
4025,1380,510.9,60397,13.6458532697231,13.1,427.7484318,58020.05,35.8,37,2.65,50,7.1,28.8,2.78501124223834,9.2,4886.01,44.4,2790.95502526577,6.710854162,2.699184381,50.06357342,5.533430211,177.8
113,36,413.3,54721,9.69597125710762,12.7,0,58020.05,54.4,54.6,2.04,56.8,5.2,17.2,3.26575941076705,5.9,4515.84,27.9,4283.10313891252,0.651792429,2.237402858,50.0389206,4.586129754,121.4
740,269,499.3,51395,11.7105132312679,15.7,837.1222691,52796,41,42.2,2.56,53.6,3.1,26.7,2.76631910922619,8.2,4147.36,38,3661.25172133922,0.806079954,6.226590583,52.93732685,5.818153266,172.7
55,26,398.9,52673,9.33600338997184,12.6,0,52796,45.2,45.5,2.49,54.4,2.4,29.2,2.65324196460721,8.3,4147.36,42.6,4361.63897573023,0.844970204,0.773814818,52.94771969,4.805591962,188.3
3438,1118,493.4,71890,13.5573885822516,9.9,138.5111476,93564.75,37.6,38.7,2.68,52.1,8.3,24.3,3.03974915897077,7.5,5372.89,54.3,3105.89006614998,2.595851085,2.252719804,52.72049671,4.729251068,165.3
2265,901,440.7,50083,13.1040873842091,16.3,462.3735856,49534,37.2,38.7,2.45,49.4,8.6,25.7,2.89591193827178,8.4,4251.04,42.5,3962.19996558945,1.827041461,1.03362505,48.18837711,5.355835918,171
251,106,423.8,43823,10.6871835957987,19.3,0,43962.7,46.2,46.8,2.44,57.2,3.9,34.4,2.37024374146786,9.4,3398.89,33.9,3974.6077663683,0.489115459,0.865711399,55.21239889,3.631082062,174.2
1390,483,495.9,61653,12.5044572411151,11.9,207.7644545,93564.75,38.5,39.9,2.52,52.4,7.4,22.7,3.01062088604774,8.5,5550.25,43.5,3408.73109342412,2.839873174,1.226386727,50.87449211,5.180155167,169.9
32,12,463.2,51022,8.30449489796357,13.9,0,49534,52.1,53.1,2.31,53.5,4.2,33.1,2.31253542384721,10.6,4186.09,35.2,4319.10862448603,0.123915737,0,53.37995338,0.535475234,153.8
305,120,442.5,49819,11.0077173666549,15.7,464.0525042,49534,36.9,39.1,2.5,46.5,5.6,22.6,2.79728133483015,6.4,4316.49,40,3716.95285520204,1.649198004,5.63573653,49.3270649,4.138710893,162.8
1081,367,490.9,53733,12.2656802798018,15.7,249.6655424,52796,36.5,37.5,2.53,47.5,7.7,23,3.05870707271538,8.2,4719.69,44.8,3650.99417763886,0.880733945,2.425881217,48.06875024,4.4729858,163.3
